REF,TYPE,AGE,TOTAL UK CAPACITY,MINIMUM OUTPUT,MAXIMUM OUTPUT,MAX RAMP UP,MAX RAMP DOWN,MAX START UP RAMP,MAX SHUT DOWN RAMP,INITIAL STATUS,PRIOR STATUS UP,PRIOR STATUS DOWN,PRIOR UP TIME,PRIOR DOWN TIME,MIN UP TIME,MIN DOWN TIME,STORAGE CAPACITY,MAX STORAGE HOURS,BATT EFFICIENCY,,
59,Coal,1971,1961,0.5,1,0.3,0.3,0,0,1,1,0,8,0,24,12,0,0,0.7,,
60,Coal / oil,1981,540,0.5,1,0.3,0.3,0,0,1,1,0,8,0,24,12,0,0,0.7,,
61,Diesel,2001,10,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
62,Diesel,1990,3,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
63,Diesel,1946,6,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
64,Diesel,1953,16,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
65,Diesel,1953,67,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
66,Diesel,1971,9,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
67,Diesel,1950,24,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
68,Diesel,1945,3,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
69,Gas,1968,540,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
70,Gas,2000,1,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
71,Gas,2000,9,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
72,Gas,1995,180,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
73,Gas,2002,10,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
74,Gas,1998,10,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
75,Gas,2005,42,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
76,Gas,1952,42,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
77,Gas,1994,40,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
78,Gas,2004,1240,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
79,Gas / oil,1998,45,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
80,Gas / oil,1998,45,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
81,Gas oil,1968,116,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
82,Gas oil,1981,142,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
83,Gas oil,2005,53,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
84,Gas oil,1971,75,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
85,Gas oil,1978,55,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
86,Gas oil,1966,34,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
87,Gas oil,1979,144,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
88,Gas oil,1967,40,0.25,1,1,1,0,0,1,1,0,8,0,0,0,0,0,0.7,,
